"","year","SPCSPI","IR","CPI","Real_1yr","real_pc_consumption","real_SP_return"
"1",1889,5.24,4.68,7.9922321,1.09913967062524,2731.57014211228,0.122137068313857
"2",1890,5.38,5.41,7.6116519,1.02839040174741,2674.73980114898,-0.0824189361417394
"3",1891,4.84,5.97,7.801942,1.12851186226138,2802.82749911844,0.26076009559031
"4",1892,5.51,3.93,7.3262127,0.964169307748014,2877.01045573511,-0.015044425524111
"5",1893,5.61,8.52,7.8970911,1.25099538765694,2834.84616233237,-0.0609271984837915
"6",1894,4.32,3.32,6.8504835,1.078120801016,2698.707528645,0.0772937485955516
"7",1895,4.25,3.09,6.5650524,1.01617357225092,2979.45733591223,0.0344208960164111
"8",1896,4.27,5.76,6.6601934,1.08870569052245,2916.27527740171,0.0607519828153166
"9",1897,4.22,3.44,6.4699033,1.00484589134003,3089.2463215432,0.164793705575722
"10",1898,4.88,3.55,6.6601934,1.02091496703535,3085.27547648583,0.268759447994158
"11",1899,6.08,3.36,6.7553425,0.884163791399089,3389.81305178606,-0.112218675571799
"12",1900,6.1,4.64,7.8970911,1.07223798981805,3362.0541357981,0.238029839223788
"13",1901,7.07,4.3,7.7067929,1.01786656541166,3702.78578736083,0.165009786001704
"14",1902,8.12,4.72,7.8970911,0.955138131390033,3659.71206519153,-0.0126539438363445
"15",1903,8.46,5.5,8.6582595,1.10350539582996,3808.0779029867,-0.130825526012051
"16",1904,6.68,4.34,8.2776793,1.01995785316761,3785.68995733019,0.278987688321596
"17",1905,8.43,4.17,8.4679289,1.0417,3923.57045917408,0.209964412811388
"18",1906,9.87,5.47,8.4679289,1.00933665885364,4273.8445351244,-0.0342843115635312
"19",1907,9.56,6.23,8.8485091,1.08564212206044,4276.70511316831,-0.22069199047651
"20",1908,6.85,5.32,8.6582595,1.0195897678699,3929.98997219402,0.336950053372175
"21",1909,9.06,3.65,8.9436744,0.936833113399328,4274.44234972731,0.0494952291004107
"22",1910,10.08,5.26,9.8951653,1.12856758193682,4263.35950289905,0.0360068575530894
"23",1911,9.27,4,9.2290893,1.05082632120302,4399.92825070562,0.0452892312190865
"24",1912,9.12,4.35,9.134005,0.972585124234694,4444.75522290071,-0.000508314312566864
"25",1913,9.3,5.65,9.8,1.03537,4501.98802080392,-0.0674193548387098
"26",1914,8.37,4.64,10,1.0360396039604,4361.75444333482,-0.0654979476442266
"27",1915,7.48,3.65,10.1,1.00660096153846,4224.74378145974,0.26717400246812
"28",1916,9.33,3.64,10.4,0.921244444444445,4541.70890088214,-0.0348934143146361
"29",1917,9.57,4.25,11.7,0.871232142857143,4387.47802913982,-0.31012091356919
"30",1918,7.21,5.98,14,0.899224242424242,4369.95926165201,-0.00912032950867915
"31",1919,7.85,5.56,16.5,0.902455958549223,4505.82673730124,0.0193722979439623
"32",1920,8.83,7.3,19.3,1.08994210526316,4637.2132854993,-0.123407045359719
"33",1921,7.11,7.44,19,1.20790532544379,4842.81395424887,0.227040837556904
"34",1922,7.3,4.58,16.9,1.052025,4952.36056486647,0.296713959556425
"35",1923,8.9,4.96,16.8,1.01926473988439,5310.28484651773,0.0212898616613626
